Id_Inventaris	Permendagri_90	Nama_Barang_Permendagri_90	No_Kode_Barang	Nama_Sesuai Kode	Nama_Simbada / Deskripsi_Barang	No_Kode_Register	Luas_Tanah	Thn_Pengadaan	Letak	Hak_Tanah	Tgl_Sertifikat	No_Sertifikat	Penggunaan	Asal_Usul	Harga_Barang	Keterangan	Kode_SKPD	Nama_SKPD	Kode_Lokasi	Nama_Lokasi
8157912	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.01	Tanah Bangunan Kantor Pemerintah	Kantor Kel Keparakan	00001	699	2014	Kel Keparakan	Hak Pakai	0000-00-00	-	-	Pembelian	997934500	-	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8301295	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.01	Tanah Bangunan Kantor Pemerintah	Tanah Untuk Kantor Pemerintahan	00002	623	1953	Jl Kusumanegara 9	Hak Pakai	2000-08-21	BAST No. 061/2080	KONI Kota Yogyakarta	Lain-lain	15004984	-	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8772120	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.02	Tanah Bangunan Pendidikan dan  Latihan (Sekolah)	Tanah untuk SD N kotagede IV	00001	171	2018	Utara gedung Sekolah SD Kotagede IV	Hak Pakai	2018-00-00	-	SD N kotagede IV	Pembelian	257976127	Proses  balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8772128	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.02	Tanah Bangunan Pendidikan dan  Latihan (Sekolah)	Tanah untuk Pengembangan TK N IV Bener	00001	151	2018	Wilayah Kel Bener Kec TR Yk	Hak Pakai	2018-00-00	-	TK N IV Bener	Pembelian	325871573	Proses  balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8772127	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.02	Tanah Bangunan Pendidikan dan  Latihan (Sekolah)	Tanah untuk Pengembangan TK N IV Bener	00001	434	2018	Wilayah Kel Bener Kec TR Yk	Hak Pakai	2018-00-00	-	TK N IV Bener	Pembelian	935636821	Proses  balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8772122	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.02	Tanah Bangunan Pendidikan dan  Latihan (Sekolah)	Tanah untuk SMP N 9	00001	106	2018	Tinalan KG II/465 RT 15 RW 04 Prenggan KG Yk	Hak Pakai	2018-00-00	-	SMP N 9	Pembelian	361471727	Proses  balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8772121	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.02	Tanah Bangunan Pendidikan dan  Latihan (Sekolah)	Tanah untuk SMP N 9	00001	89	2018	Tinalan KG II/465 RT 15 RW 04 Prenggan KG Yk	Hak Pakai	2018-00-00	-	SMP N 9	Pembelian	303693697	Proses  balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8535625	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.02	Tanah Bangunan Pendidikan dan  Latihan (Sekolah)	Tanah Bangunan Pendidikan dan Latihan (sekolah)	00001	180	2016	Kel. Purbayan	Hak Pakai	0000-00-00	-	SD Negeri Kotagede 4	Pembelian	277467700	Proses balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
7832587	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.02	Tanah Bangunan Pendidikan dan  Latihan (Sekolah)	Tanah SD N Kintelan 1 2 3	00013	2107	2000	Kel. Keparakan	Hak Pakai	0000-00-00	P.7/KPR	SD N Kintelan 1 2 3	Lain-Lain	8754585000	Proses balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
7832595	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.02	Tanah Bangunan Pendidikan dan  Latihan (Sekolah)	Tanah SD N Rejowinangun 1 2 3	00003	4146	2000	Kel. Rejowinangun	Hak Pakai	0000-00-00	P.08.Rjw	SD N Rejowinangun 1 2 3	Lain-Lain	1388910000	Proses balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
